Order ID,Product,Quantity Ordered,Price Each,Order Date,Address,City,State,Zip Code,Revenue
176558,USB-C Charging Cable,2,11.95,04/19/19 08:46,917 1st St, Dallas,Texas,75001,23.9
176559,Bose SoundSport Headphones,1,99.99,04/07/19 22:30,682 Chestnut St, Boston,Massachusetts,02215,99.99
176560,Google Phone,1,600,04/12/19 14:38,669 Spruce St, Los Angeles,California,90001,600.0
176560,Wired Headphones,1,11.99,04/12/19 14:38,669 Spruce St, Los Angeles,California,90001,11.99
176561,Wired Headphones,1,11.99,04/30/19 09:27,333 8th St, Los Angeles,California,90001,11.99
176562,USB-C Charging Cable,1,11.95,04/29/19 13:03,381 Wilson St, San Francisco,California,94016,11.95
176563,Bose SoundSport Headphones,1,99.99,04/02/19 07:46,668 Center St, Seattle,Washington,98101,99.99
176564,USB-C Charging Cable,1,11.95,04/12/19 10:58,790 Ridge St, Atlanta,Georgia,30301,11.95
176565,Macbook Pro Laptop,1,1700,04/24/19 10:38,915 Willow St, San Francisco,California,94016,1700.0
176566,Wired Headphones,1,11.99,04/08/19 14:05,83 7th St, Boston,Massachusetts,02215,11.99
176567,Google Phone,1,600,04/18/19 17:18,444 7th St, Los Angeles,California,90001,600.0
176568,Lightning Charging Cable,1,14.95,04/15/19 12:18,438 Elm St, Seattle,Washington,98101,14.95
176569,27in 4K Gaming Monitor,1,389.99,04/16/19 19:23,657 Hill St, Dallas,Texas,75001,389.99
176570,AA Batteries (4-pack),1,3.84,04/22/19 15:09,186 12th St, Dallas,Texas,75001,3.84
176571,Lightning Charging Cable,1,14.95,04/19/19 14:29,253 Johnson St, Atlanta,Georgia,30301,14.95
176572,Apple Airpods Headphones,1,150,04/04/19 20:30,149 Dogwood St, New York City,New York,10001,150.0
176573,USB-C Charging Cable,1,11.95,04/27/19 18:41,214 Chestnut St, San Francisco,California,94016,11.95
176574,Google Phone,1,600,04/03/19 19:42,20 Hill St, Los Angeles,California,90001,600.0
176574,USB-C Charging Cable,1,11.95,04/03/19 19:42,20 Hill St, Los Angeles,California,90001,11.95
176575,AAA Batteries (4-pack),1,2.99,04/27/19 00:30,433 Hill St, New York City,New York,10001,2.99
176576,Apple Airpods Headphones,1,150,04/28/19 11:42,771 Ridge St, Los Angeles,California,90001,150.0
176577,Apple Airpods Headphones,1,150,04/04/19 19:25,260 Spruce St, Dallas,Texas,75001,150.0
176578,Apple Airpods Headphones,1,150,04/09/19 23:35,513 Church St, Boston,Massachusetts,02215,150.0
176579,AA Batteries (4-pack),1,3.84,04/11/19 10:23,886 Jefferson St, New York City,New York,10001,3.84
176580,USB-C Charging Cable,1,11.95,04/05/19 00:35,886 Willow St, Los Angeles,California,90001,11.95
176581,iPhone,1,700,04/09/19 21:38,84 Jackson St, Boston,Massachusetts,02215,700.0
176582,Bose SoundSport Headphones,1,99.99,04/27/19 12:20,178 Lincoln St, Atlanta,Georgia,30301,99.99
176583,AAA Batteries (4-pack),2,2.99,04/20/19 12:00,146 Jackson St, Portland,Oregon,97035,5.98
176584,Flatscreen TV,1,300,04/24/19 20:39,936 Church St, San Francisco,California,94016,300.0
176585,Bose SoundSport Headphones,1,99.99,04/07/19 11:31,823 Highland St, Boston,Massachusetts,02215,99.99
176585,Bose SoundSport Headphones,1,99.99,04/07/19 11:31,823 Highland St, Boston,Massachusetts,02215,99.99
176586,AAA Batteries (4-pack),2,2.99,04/10/19 17:00,365 Center St, San Francisco,California,94016,5.98
176586,Google Phone,1,600,04/10/19 17:00,365 Center St, San Francisco,California,94016,600.0
176587,27in FHD Monitor,1,149.99,04/29/19 19:38,557 5th St, Los Angeles,California,90001,149.99
176588,20in Monitor,1,109.99,04/02/19 04:00,765 Cherry St, Seattle,Washington,98101,109.99
176589,Lightning Charging Cable,1,14.95,04/04/19 12:23,846 Highland St, Atlanta,Georgia,30301,14.95
176590,Google Phone,1,600,04/11/19 11:46,873 6th St, New York City,New York,10001,600.0
176591,Apple Airpods Headphones,1,150,04/21/19 07:21,600 Maple St, Austin,Texas,73301,150.0
176592,USB-C Charging Cable,1,11.95,04/27/19 13:04,352 4th St, Los Angeles,California,90001,11.95
176593,Lightning Charging Cable,2,14.95,04/15/19 13:45,906 7th St, Portland,Oregon,97035,29.9
176594,Wired Headphones,1,11.99,04/17/19 23:04,63 Maple St, San Francisco,California,94016,11.99
176595,Wired Headphones,3,11.99,04/02/19 09:11,383 6th St, Los Angeles,California,90001,35.97
176596,Apple Airpods Headphones,1,150,04/27/19 20:11,572 Meadow St, Dallas,Texas,75001,150.0
176597,USB-C Charging Cable,1,11.95,04/19/19 13:39,681 11th St, San Francisco,California,94016,11.95
176598,AAA Batteries (4-pack),2,2.99,04/21/19 20:33,294 Park St, San Francisco,California,94016,5.98
176599,Lightning Charging Cable,1,14.95,04/11/19 15:25,279 Maple St, New York City,New York,10001,14.95
176600,27in 4K Gaming Monitor,1,389.99,04/30/19 15:54,87 West St, Boston,Massachusetts,02215,389.99
176601,USB-C Charging Cable,1,11.95,04/02/19 22:32,754 10th St, Los Angeles,California,90001,11.95
176602,Lightning Charging Cable,1,14.95,04/30/19 09:39,9 Jefferson St, Dallas,Texas,75001,14.95
176603,USB-C Charging Cable,1,11.95,04/01/19 07:46,858 6th St, San Francisco,California,94016,11.95
176604,USB-C Charging Cable,1,11.95,04/02/19 10:57,462 11th St, San Francisco,California,94016,11.95
176605,USB-C Charging Cable,1,11.95,04/15/19 16:29,717 Pine St, San Francisco,California,94016,11.95
176606,LG Dryer,1,600.0,04/21/19 14:16,487 Maple St, San Francisco,California,94016,600.0
176607,AAA Batteries (4-pack),2,2.99,04/18/19 12:11,689 10th St, Boston,Massachusetts,02215,5.98
176608,iPhone,1,700,04/11/19 12:01,15 Cherry St, San Francisco,California,94016,700.0
176609,Apple Airpods Headphones,1,150,04/11/19 16:59,267 11th St, Austin,Texas,73301,150.0
176610,AAA Batteries (4-pack),1,2.99,04/26/19 00:40,382 River St, Dallas,Texas,75001,2.99
176611,Bose SoundSport Headphones,1,99.99,04/30/19 13:16,971 Sunset St, San Francisco,California,94016,99.99
176612,Apple Airpods Headphones,1,150,04/04/19 19:48,149 North St, Seattle,Washington,98101,150.0
176613,USB-C Charging Cable,2,11.95,04/26/19 18:58,405 4th St, New York City,New York,10001,23.9
176614,AA Batteries (4-pack),1,3.84,04/07/19 21:01,647 Jackson St, San Francisco,California,94016,3.84
176615,Lightning Charging Cable,1,14.95,04/30/19 10:35,833 River St, Dallas,Texas,75001,14.95
176616,USB-C Charging Cable,1,11.95,04/05/19 20:40,380 Washington St, San Francisco,California,94016,11.95
176617,Apple Airpods Headphones,1,150,04/25/19 08:03,319 8th St, Portland,Oregon,97035,150.0
176618,Lightning Charging Cable,2,14.95,04/18/19 21:44,273 South St, San Francisco,California,94016,29.9
176619,Flatscreen TV,1,300,04/16/19 18:37,116 North St, Los Angeles,California,90001,300.0
176620,USB-C Charging Cable,1,11.95,04/17/19 10:39,994 Pine St, Los Angeles,California,90001,11.95
176621,Lightning Charging Cable,1,14.95,04/11/19 16:09,863 8th St, Boston,Massachusetts,02215,14.95
176622,AA Batteries (4-pack),1,3.84,04/11/19 20:16,983 11th St, San Francisco,California,94016,3.84
176623,27in FHD Monitor,1,149.99,04/20/19 23:51,807 12th St, Atlanta,Georgia,30301,149.99
176624,AA Batteries (4-pack),1,3.84,04/28/19 10:44,664 Church St, Seattle,Washington,98101,3.84
176625,AAA Batteries (4-pack),2,2.99,04/24/19 19:00,858 5th St, San Francisco,California,94016,5.98
176626,Bose SoundSport Headphones,1,99.99,04/01/19 21:40,491 Chestnut St, Boston,Massachusetts,02215,99.99
176627,Wired Headphones,1,11.99,04/21/19 14:57,994 13th St, Atlanta,Georgia,30301,11.99
