Order ID,Product,Quantity Ordered,Price Each,Order Date,Address,City,State,Zip Code,Revenue
150502,iPhone,1,700,02/18/19 01:35,866 Spruce St, Portland,Maine,04101,700.0
150503,AA Batteries (4-pack),1,3.84,02/13/19 07:24,18 13th St, San Francisco,California,94016,3.84
150504,27in 4K Gaming Monitor,1,389.99,02/18/19 09:46,52 6th St, New York City,New York,10001,389.99
150505,Lightning Charging Cable,1,14.95,02/02/19 16:47,129 Cherry St, Atlanta,Georgia,30301,14.95
150506,AA Batteries (4-pack),2,3.84,02/28/19 20:32,548 Lincoln St, Seattle,Washington,98101,7.68
150507,Lightning Charging Cable,1,14.95,02/24/19 18:50,387 12th St, Austin,Texas,73301,14.95
150508,AA Batteries (4-pack),1,3.84,02/21/19 19:26,622 Center St, San Francisco,California,94016,3.84
150509,Apple Airpods Headphones,1,150,02/26/19 19:53,921 6th St, Seattle,Washington,98101,150.0
150510,USB-C Charging Cable,1,11.95,02/17/19 21:48,451 2nd St, Los Angeles,California,90001,11.95
150511,USB-C Charging Cable,1,11.95,02/22/19 07:36,689 River St, San Francisco,California,94016,11.95
150512,Bose SoundSport Headphones,1,99.99,02/17/19 18:29,198 Center St, Los Angeles,California,90001,99.99
150513,Bose SoundSport Headphones,1,99.99,02/25/19 20:49,777 Spruce St, Los Angeles,California,90001,99.99
150514,27in FHD Monitor,1,149.99,02/03/19 00:21,723 Wilson St, Los Angeles,California,90001,149.99
150515,Apple Airpods Headphones,1,150,02/18/19 14:53,101 13th St, New York City,New York,10001,150.0
150516,Lightning Charging Cable,1,14.95,02/20/19 12:29,303 Sunset St, Atlanta,Georgia,30301,14.95
150517,Wired Headphones,1,11.99,02/08/19 12:57,471 13th St, San Francisco,California,94016,11.99
150518,Macbook Pro Laptop,1,1700,02/26/19 12:38,847 10th St, San Francisco,California,94016,1700.0
150518,iPhone,1,700,02/26/19 12:38,847 10th St, San Francisco,California,94016,700.0
150519,Wired Headphones,1,11.99,02/23/19 13:25,111 Hill St, Dallas,Texas,75001,11.99
150520,AA Batteries (4-pack),2,3.84,02/27/19 14:39,512 Church St, Dallas,Texas,75001,7.68
150521,Flatscreen TV,1,300,02/27/19 20:07,588 1st St, Los Angeles,California,90001,300.0
150522,20in Monitor,1,109.99,02/12/19 00:00,633 Cherry St, Boston,Massachusetts,02215,109.99
150523,LG Dryer,1,600.0,02/27/19 20:24,452 8th St, San Francisco,California,94016,600.0
150524,Wired Headphones,1,11.99,02/28/19 13:47,311 8th St, Austin,Texas,73301,11.99
150525,20in Monitor,1,109.99,02/25/19 09:38,874 Jefferson St, San Francisco,California,94016,109.99
150526,AAA Batteries (4-pack),1,2.99,02/15/19 11:31,85 Park St, Boston,Massachusetts,02215,2.99
150527,USB-C Charging Cable,1,11.95,02/07/19 14:33,165 Jefferson St, Los Angeles,California,90001,11.95
150528,AAA Batteries (4-pack),2,2.99,02/26/19 23:17,426 Lake St, Los Angeles,California,90001,5.98
150529,AA Batteries (4-pack),4,3.84,02/11/19 13:10,116 Elm St, Seattle,Washington,98101,15.36
150530,ThinkPad Laptop,1,999.99,02/05/19 14:19,752 Park St, Los Angeles,California,90001,999.99
150531,USB-C Charging Cable,1,11.95,02/28/19 18:16,457 Maple St, Los Angeles,California,90001,11.95
150532,USB-C Charging Cable,1,11.95,02/04/19 22:57,645 Walnut St, San Francisco,California,94016,11.95
