Order ID,Product,Quantity Ordered,Price Each,Order Date,Address,City,State,Zip Code,Revenue
141234,iPhone,1,700,01/22/19 21:25,944 Walnut St, Boston,Massachusetts,02215,700.0
141235,Lightning Charging Cable,1,14.95,01/28/19 14:15,185 Maple St, Portland,Oregon,97035,14.95
141236,Wired Headphones,2,11.99,01/17/19 13:33,538 Adams St, San Francisco,California,94016,23.98
141237,27in FHD Monitor,1,149.99,01/05/19 20:33,738 10th St, Los Angeles,California,90001,149.99
141238,Wired Headphones,1,11.99,01/25/19 11:59,387 10th St, Austin,Texas,73301,11.99
141239,AAA Batteries (4-pack),1,2.99,01/29/19 20:22,775 Willow St, San Francisco,California,94016,2.99
141240,27in 4K Gaming Monitor,1,389.99,01/26/19 12:16,979 Park St, Los Angeles,California,90001,389.99
141241,USB-C Charging Cable,1,11.95,01/05/19 12:04,181 6th St, San Francisco,California,94016,11.95
141242,Bose SoundSport Headphones,1,99.99,01/01/19 10:30,867 Willow St, Los Angeles,California,90001,99.99
141243,Apple Airpods Headphones,1,150,01/22/19 21:20,657 Johnson St, San Francisco,California,94016,150.0
141244,Apple Airpods Headphones,1,150,01/07/19 11:29,492 Walnut St, San Francisco,California,94016,150.0
141245,Macbook Pro Laptop,1,1700,01/31/19 10:12,322 6th St, San Francisco,California,94016,1700.0
141246,AAA Batteries (4-pack),3,2.99,01/09/19 18:57,618 7th St, Los Angeles,California,90001,8.97
141247,27in FHD Monitor,1,149.99,01/25/19 19:19,512 Wilson St, San Francisco,California,94016,149.99
141248,Flatscreen TV,1,300,01/03/19 21:54,363 Spruce St, Austin,Texas,73301,300.0
141249,27in FHD Monitor,1,149.99,01/05/19 17:20,440 Cedar St, Portland,Oregon,97035,149.99
141250,Vareebadd Phone,1,400,01/10/19 11:20,471 Center St, Los Angeles,California,90001,400.0
141251,Apple Airpods Headphones,1,150,01/24/19 08:13,414 Walnut St, Boston,Massachusetts,02215,150.0
141252,USB-C Charging Cable,1,11.95,01/30/19 09:28,220 9th St, Los Angeles,California,90001,11.95
141253,AA Batteries (4-pack),1,3.84,01/17/19 00:09,385 11th St, Atlanta,Georgia,30301,3.84
141254,AAA Batteries (4-pack),1,2.99,01/08/19 11:51,238 Sunset St, Seattle,Washington,98101,2.99
141255,USB-C Charging Cable,1,11.95,01/09/19 20:55,764 11th St, Los Angeles,California,90001,11.95
141256,Google Phone,1,600,01/29/19 10:40,675 Washington St, Portland,Oregon,97035,600.0
141257,Apple Airpods Headphones,1,150,01/12/19 18:51,338 Highland St, San Francisco,California,94016,150.0
141258,AA Batteries (4-pack),1,3.84,01/19/19 21:47,820 1st St, San Francisco,California,94016,3.84
141259,AAA Batteries (4-pack),2,2.99,01/20/19 17:26,920 Adams St, San Francisco,California,94016,5.98
141260,AAA Batteries (4-pack),1,2.99,01/01/19 22:00,293 Hill St, San Francisco,California,94016,2.99
141261,USB-C Charging Cable,1,11.95,01/09/19 18:14,840 Lincoln St, Atlanta,Georgia,30301,11.95
141262,AAA Batteries (4-pack),1,2.99,01/16/19 12:35,291 Lincoln St, San Francisco,California,94016,2.99
141263,Bose SoundSport Headphones,1,99.99,01/11/19 23:33,640 Spruce St, Boston,Massachusetts,02215,99.99
141264,Apple Airpods Headphones,1,150,01/03/19 09:46,937 Highland St, New York City,New York,10001,150.0
141265,Apple Airpods Headphones,1,150,01/01/19 16:52,853 Ridge St, Boston,Massachusetts,02215,150.0
141266,27in 4K Gaming Monitor,1,389.99,01/02/19 22:21,834 4th St, Dallas,Texas,75001,389.99
141267,Apple Airpods Headphones,1,150,01/09/19 08:28,649 Sunset St, Los Angeles,California,90001,150.0
141268,AA Batteries (4-pack),1,3.84,01/14/19 10:13,611 Elm St, New York City,New York,10001,3.84
141269,27in 4K Gaming Monitor,1,389.99,01/03/19 20:05,812 Jefferson St, Los Angeles,California,90001,389.99
141270,Wired Headphones,1,11.99,01/27/19 23:10,469 Hill St, San Francisco,California,94016,11.99
141271,USB-C Charging Cable,1,11.95,01/30/19 10:51,90 13th St, Boston,Massachusetts,02215,11.95
141272,AAA Batteries (4-pack),1,2.99,01/12/19 13:09,818 Lincoln St, New York City,New York,10001,2.99
141273,Wired Headphones,2,11.99,01/29/19 12:04,994 13th St, Boston,Massachusetts,02215,23.98
