Order ID,Product,Quantity Ordered,Price Each,Order Date,Address,City,State,Zip Code,Revenue
162009,iPhone,1,700,03/28/19 20:59,942 Church St, Austin,Texas,73301,700.0
162009,Lightning Charging Cable,1,14.95,03/28/19 20:59,942 Church St, Austin,Texas,73301,14.95
162009,Wired Headphones,2,11.99,03/28/19 20:59,942 Church St, Austin,Texas,73301,23.98
162010,Bose SoundSport Headphones,1,99.99,03/17/19 05:39,261 10th St, San Francisco,California,94016,99.99
162011,34in Ultrawide Monitor,1,379.99,03/10/19 00:01,764 13th St, San Francisco,California,94016,379.99
162012,AA Batteries (4-pack),1,3.84,03/20/19 21:33,187 Ridge St, San Francisco,California,94016,3.84
162013,34in Ultrawide Monitor,1,379.99,03/15/19 23:05,904 Main St, Austin,Texas,73301,379.99
162014,USB-C Charging Cable,1,11.95,03/01/19 21:33,10 13th St, San Francisco,California,94016,11.95
162015,AA Batteries (4-pack),1,3.84,03/02/19 08:52,949 Jefferson St, Boston,Massachusetts,02215,3.84
162016,AAA Batteries (4-pack),5,2.99,03/19/19 21:10,469 Highland St, Atlanta,Georgia,30301,14.950000000000001
162017,Lightning Charging Cable,1,14.95,03/02/19 13:55,449 River St, San Francisco,California,94016,14.95
162018,USB-C Charging Cable,2,11.95,03/18/19 11:07,925 Maple St, Portland,Oregon,97035,23.9
162019,AAA Batteries (4-pack),1,2.99,03/05/19 12:20,639 4th St, Atlanta,Georgia,30301,2.99
162020,LG Washing Machine,1,600.0,03/26/19 18:17,616 Jackson St, Dallas,Texas,75001,600.0
162021,Wired Headphones,1,11.99,03/30/19 12:02,645 Wilson St, Los Angeles,California,90001,11.99
162022,AA Batteries (4-pack),1,3.84,03/17/19 22:18,473 Hill St, New York City,New York,10001,3.84
162023,Apple Airpods Headphones,1,150,03/11/19 20:00,404 Park St, San Francisco,California,94016,150.0
162024,27in 4K Gaming Monitor,1,389.99,03/17/19 09:22,952 Willow St, Atlanta,Georgia,30301,389.99
162025,AAA Batteries (4-pack),1,2.99,03/07/19 20:50,110 7th St, Boston,Massachusetts,02215,2.99
162026,iPhone,1,700,03/22/19 22:31,71 Pine St, Austin,Texas,73301,700.0
162027,AAA Batteries (4-pack),1,2.99,03/16/19 20:52,421 Main St, Los Angeles,California,90001,2.99
162028,AAA Batteries (4-pack),3,2.99,03/20/19 15:23,739 1st St, San Francisco,California,94016,8.97
162029,AAA Batteries (4-pack),1,2.99,03/26/19 12:17,141 North St, Atlanta,Georgia,30301,2.99
162030,Google Phone,1,600,03/09/19 16:50,463 4th St, San Francisco,California,94016,600.0
162031,Lightning Charging Cable,1,14.95,03/28/19 17:03,131 Johnson St, Boston,Massachusetts,02215,14.95
162032,Lightning Charging Cable,1,14.95,03/31/19 10:39,498 4th St, Los Angeles,California,90001,14.95
162033,iPhone,1,700,03/19/19 11:06,267 Johnson St, Dallas,Texas,75001,700.0
162034,USB-C Charging Cable,1,11.95,03/26/19 20:34,104 Center St, Seattle,Washington,98101,11.95
162035,Macbook Pro Laptop,1,1700,03/08/19 13:07,44 4th St, Los Angeles,California,90001,1700.0
162036,Lightning Charging Cable,1,14.95,03/09/19 19:39,905 Spruce St, San Francisco,California,94016,14.95
162037,iPhone,1,700,03/23/19 02:11,277 Elm St, Los Angeles,California,90001,700.0
162037,Lightning Charging Cable,1,14.95,03/23/19 02:11,277 Elm St, Los Angeles,California,90001,14.95
162038,AAA Batteries (4-pack),2,2.99,03/18/19 20:31,53 10th St, Atlanta,Georgia,30301,5.98
162039,AA Batteries (4-pack),1,3.84,03/29/19 12:01,175 West St, San Francisco,California,94016,3.84
162040,USB-C Charging Cable,1,11.95,03/25/19 09:11,973 North St, Austin,Texas,73301,11.95
162041,Apple Airpods Headphones,1,150,03/14/19 01:01,633 13th St, Austin,Texas,73301,150.0
162042,USB-C Charging Cable,1,11.95,03/09/19 22:39,661 7th St, San Francisco,California,94016,11.95
162043,AA Batteries (4-pack),1,3.84,03/29/19 10:59,883 Walnut St, Atlanta,Georgia,30301,3.84
162044,27in FHD Monitor,1,149.99,03/22/19 10:11,469 9th St, Dallas,Texas,75001,149.99
162045,Apple Airpods Headphones,1,150,03/26/19 13:31,906 Park St, New York City,New York,10001,150.0
162046,AAA Batteries (4-pack),2,2.99,03/20/19 20:33,661 1st St, San Francisco,California,94016,5.98
162047,Bose SoundSport Headphones,1,99.99,03/08/19 18:41,819 9th St, Austin,Texas,73301,99.99
162048,AA Batteries (4-pack),1,3.84,03/31/19 19:24,819 Main St, New York City,New York,10001,3.84
162049,Lightning Charging Cable,1,14.95,03/25/19 13:35,307 Chestnut St, Austin,Texas,73301,14.95
162050,AAA Batteries (4-pack),1,2.99,03/26/19 17:09,870 Spruce St, Boston,Massachusetts,02215,2.99
162051,AAA Batteries (4-pack),1,2.99,03/12/19 09:12,565 South St, Boston,Massachusetts,02215,2.99
162052,Wired Headphones,1,11.99,03/11/19 09:44,971 Washington St, Los Angeles,California,90001,11.99
162053,iPhone,1,700,03/10/19 18:29,660 7th St, Seattle,Washington,98101,700.0
162054,Wired Headphones,1,11.99,03/20/19 00:42,358 5th St, San Francisco,California,94016,11.99
162055,AA Batteries (4-pack),1,3.84,03/29/19 09:21,675 8th St, Los Angeles,California,90001,3.84
162056,Wired Headphones,1,11.99,03/17/19 10:24,55 Adams St, San Francisco,California,94016,11.99
162057,Wired Headphones,1,11.99,03/30/19 18:44,485 Maple St, Los Angeles,California,90001,11.99
