Order ID,Product,Quantity Ordered,Price Each,Order Date,Address,City,State,Zip Code,Revenue
278797,Wired Headphones,1,11.99,11/21/19 09:54,46 Park St, New York City,New York,10001,11.99
278798,USB-C Charging Cable,2,11.95,11/17/19 10:03,962 Hickory St, Austin,Texas,73301,23.9
278799,Apple Airpods Headphones,1,150.0,11/19/19 14:56,464 Cherry St, Los Angeles,California,90001,150.0
278800,27in FHD Monitor,1,149.99,11/25/19 22:24,649 10th St, Seattle,Washington,98101,149.99
278801,Bose SoundSport Headphones,1,99.99,11/09/19 13:56,522 Hill St, Boston,Massachusetts,02215,99.99
278802,USB-C Charging Cable,1,11.95,11/14/19 20:34,154 2nd St, San Francisco,California,94016,11.95
278803,Lightning Charging Cable,1,14.95,11/11/19 08:05,724 5th St, San Francisco,California,94016,14.95
278804,Bose SoundSport Headphones,1,99.99,11/15/19 11:48,866 Sunset St, Austin,Texas,73301,99.99
278805,Lightning Charging Cable,1,14.95,11/27/19 11:50,670 Elm St, San Francisco,California,94016,14.95
278806,Bose SoundSport Headphones,1,99.99,11/19/19 19:12,174 2nd St, Boston,Massachusetts,02215,99.99
278806,ThinkPad Laptop,1,999.99,11/19/19 19:12,174 2nd St, Boston,Massachusetts,02215,999.99
278807,ThinkPad Laptop,1,999.99,11/25/19 21:52,240 Elm St, Austin,Texas,73301,999.99
278808,AAA Batteries (4-pack),1,2.99,11/23/19 13:19,155 Highland St, Boston,Massachusetts,02215,2.99
278809,AA Batteries (4-pack),1,3.84,11/17/19 12:38,969 13th St, Dallas,Texas,75001,3.84
278810,USB-C Charging Cable,1,11.95,11/03/19 16:55,454 Cherry St, Boston,Massachusetts,02215,11.95
278811,Wired Headphones,1,11.99,11/06/19 16:01,99 Elm St, San Francisco,California,94016,11.99
278811,Apple Airpods Headphones,1,150.0,11/06/19 16:01,99 Elm St, San Francisco,California,94016,150.0
278812,Apple Airpods Headphones,1,150.0,11/17/19 20:08,601 Church St, Seattle,Washington,98101,150.0
278813,Macbook Pro Laptop,1,1700.0,11/09/19 22:40,131 6th St, Boston,Massachusetts,02215,1700.0
278814,AA Batteries (4-pack),3,3.84,11/16/19 16:45,419 Hill St, Boston,Massachusetts,02215,11.52
278815,Lightning Charging Cable,1,14.95,11/18/19 13:06,815 Dogwood St, New York City,New York,10001,14.95
278816,Lightning Charging Cable,1,14.95,11/08/19 08:58,925 5th St, New York City,New York,10001,14.95
278817,USB-C Charging Cable,1,11.95,11/05/19 23:25,503 Chestnut St, Boston,Massachusetts,02215,11.95
278818,USB-C Charging Cable,1,11.95,11/16/19 22:12,541 Johnson St, New York City,New York,10001,11.95
278819,iPhone,1,700.0,11/04/19 06:20,880 Maple St, New York City,New York,10001,700.0
278819,Apple Airpods Headphones,1,150.0,11/04/19 06:20,880 Maple St, New York City,New York,10001,150.0
278820,USB-C Charging Cable,2,11.95,11/17/19 15:11,882 Walnut St, Portland,Oregon,97035,23.9
278821,USB-C Charging Cable,1,11.95,11/25/19 16:17,327 13th St, Dallas,Texas,75001,11.95
278822,Bose SoundSport Headphones,1,99.99,11/20/19 08:17,816 Park St, Atlanta,Georgia,30301,99.99
278823,AA Batteries (4-pack),1,3.84,11/29/19 20:42,234 9th St, Boston,Massachusetts,02215,3.84
278824,27in FHD Monitor,1,149.99,11/08/19 11:05,677 Johnson St, Portland,Oregon,97035,149.99
278825,Bose SoundSport Headphones,1,99.99,11/02/19 00:35,928 Wilson St, San Francisco,California,94016,99.99
278826,20in Monitor,1,109.99,11/26/19 15:58,532 Cedar St, Austin,Texas,73301,109.99
278827,Apple Airpods Headphones,1,150.0,11/01/19 13:06,305 Highland St, San Francisco,California,94016,150.0
278828,34in Ultrawide Monitor,1,379.99,11/12/19 20:24,470 13th St, San Francisco,California,94016,379.99
278829,iPhone,1,700.0,11/20/19 22:19,977 Johnson St, Los Angeles,California,90001,700.0
278830,USB-C Charging Cable,1,11.95,11/04/19 13:28,651 Hill St, Boston,Massachusetts,02215,11.95
278831,Bose SoundSport Headphones,1,99.99,11/11/19 12:37,607 8th St, Los Angeles,California,90001,99.99
278832,Vareebadd Phone,1,400.0,11/10/19 16:10,783 12th St, San Francisco,California,94016,400.0
278833,iPhone,1,700.0,11/04/19 10:34,700 Pine St, San Francisco,California,94016,700.0
278833,Lightning Charging Cable,2,14.95,11/04/19 10:34,700 Pine St, San Francisco,California,94016,29.9
278834,Wired Headphones,1,11.99,11/07/19 13:19,792 9th St, Los Angeles,California,90001,11.99
278835,AAA Batteries (4-pack),1,2.99,11/13/19 20:05,302 Highland St, San Francisco,California,94016,2.99
278836,Wired Headphones,1,11.99,11/26/19 20:48,989 12th St, New York City,New York,10001,11.99
278837,AA Batteries (4-pack),1,3.84,11/10/19 16:05,349 9th St, San Francisco,California,94016,3.84
278838,Flatscreen TV,1,300.0,11/12/19 15:37,835 Main St, San Francisco,California,94016,300.0
278839,Lightning Charging Cable,1,14.95,11/23/19 11:16,614 Church St, San Francisco,California,94016,14.95
278840,Bose SoundSport Headphones,1,99.99,11/23/19 20:46,490 Walnut St, Los Angeles,California,90001,99.99
278840,27in FHD Monitor,1,149.99,11/23/19 20:46,490 Walnut St, Los Angeles,California,90001,149.99
278841,USB-C Charging Cable,1,11.95,11/28/19 09:07,847 Dogwood St, San Francisco,California,94016,11.95
278842,AA Batteries (4-pack),1,3.84,11/06/19 00:37,487 Lincoln St, New York City,New York,10001,3.84
278843,USB-C Charging Cable,1,11.95,11/07/19 11:59,435 Hill St, Portland,Maine,04101,11.95
278844,20in Monitor,1,109.99,11/24/19 12:37,944 Madison St, Los Angeles,California,90001,109.99
278845,Lightning Charging Cable,1,14.95,11/09/19 11:46,497 6th St, Boston,Massachusetts,02215,14.95
278846,Lightning Charging Cable,1,14.95,11/25/19 22:05,84 1st St, Los Angeles,California,90001,14.95
278847,34in Ultrawide Monitor,1,379.99,11/12/19 13:52,903 Madison St, Boston,Massachusetts,02215,379.99
278848,Flatscreen TV,1,300.0,11/23/19 16:40,140 West St, Austin,Texas,73301,300.0
278849,AAA Batteries (4-pack),1,2.99,11/16/19 11:49,984 Washington St, Seattle,Washington,98101,2.99
278850,USB-C Charging Cable,1,11.95,11/21/19 14:25,555 Cherry St, San Francisco,California,94016,11.95
278851,Apple Airpods Headphones,1,150.0,11/08/19 19:49,687 Maple St, Los Angeles,California,90001,150.0
278852,AAA Batteries (4-pack),1,2.99,11/12/19 16:53,998 Hill St, Seattle,Washington,98101,2.99
278853,AAA Batteries (4-pack),1,2.99,11/20/19 19:01,591 Washington St, San Francisco,California,94016,2.99
278854,27in 4K Gaming Monitor,1,389.99,11/04/19 00:24,952 Dogwood St, Portland,Oregon,97035,389.99
278855,AA Batteries (4-pack),1,3.84,11/21/19 21:32,193 Maple St, New York City,New York,10001,3.84
278856,Apple Airpods Headphones,1,150.0,11/10/19 22:27,788 North St, New York City,New York,10001,150.0
278857,USB-C Charging Cable,1,11.95,11/30/19 15:37,150 Wilson St, Los Angeles,California,90001,11.95
278857,AAA Batteries (4-pack),2,2.99,11/30/19 15:37,150 Wilson St, Los Angeles,California,90001,5.98
278858,USB-C Charging Cable,1,11.95,11/16/19 13:23,690 Spruce St, San Francisco,California,94016,11.95
278859,27in FHD Monitor,1,149.99,11/21/19 22:29,30 West St, Dallas,Texas,75001,149.99
278860,Wired Headphones,2,11.99,11/22/19 21:45,389 Madison St, Boston,Massachusetts,02215,23.98
278861,AA Batteries (4-pack),2,3.84,11/24/19 16:18,485 Jefferson St, New York City,New York,10001,7.68
278862,Wired Headphones,1,11.99,11/04/19 09:22,351 Spruce St, Portland,Maine,04101,11.99
278863,Wired Headphones,1,11.99,11/21/19 16:29,511 10th St, Los Angeles,California,90001,11.99
278864,Apple Airpods Headphones,1,150,11/09/19 19:29,67 Meadow St, San Francisco,California,94016,150.0
278865,27in 4K Gaming Monitor,1,389.99,11/14/19 17:44,518 Center St, New York City,New York,10001,389.99
278866,USB-C Charging Cable,1,11.95,11/12/19 23:44,755 2nd St, San Francisco,California,94016,11.95
278867,Apple Airpods Headphones,1,150,11/13/19 11:55,249 Madison St, Atlanta,Georgia,30301,150.0
278868,Wired Headphones,1,11.99,11/12/19 22:27,614 Maple St, New York City,New York,10001,11.99
278869,Lightning Charging Cable,1,14.95,11/22/19 12:18,164 North St, Dallas,Texas,75001,14.95
278870,Bose SoundSport Headphones,1,99.99,11/29/19 19:53,921 Meadow St, Seattle,Washington,98101,99.99
278871,34in Ultrawide Monitor,1,379.99,11/22/19 14:01,95 Willow St, Dallas,Texas,75001,379.99
278872,iPhone,1,700,11/02/19 10:46,916 North St, Portland,Oregon,97035,700.0
278873,Lightning Charging Cable,1,14.95,11/28/19 22:30,206 Willow St, Portland,Oregon,97035,14.95
278874,Lightning Charging Cable,1,14.95,11/13/19 17:58,828 Spruce St, Austin,Texas,73301,14.95
278875,USB-C Charging Cable,1,11.95,11/26/19 11:09,832 Sunset St, Los Angeles,California,90001,11.95
278876,Bose SoundSport Headphones,1,99.99,11/27/19 17:31,174 Main St, Portland,Oregon,97035,99.99
278877,34in Ultrawide Monitor,1,379.99,11/24/19 20:08,684 Madison St, Atlanta,Georgia,30301,379.99
278878,AAA Batteries (4-pack),1,2.99,11/07/19 16:06,515 1st St, New York City,New York,10001,2.99
278879,27in 4K Gaming Monitor,1,389.99,11/21/19 23:35,738 6th St, San Francisco,California,94016,389.99
278880,Apple Airpods Headphones,1,150,11/16/19 13:07,531 Ridge St, San Francisco,California,94016,150.0
278881,20in Monitor,1,109.99,11/22/19 11:30,695 Jefferson St, New York City,New York,10001,109.99
278882,Bose SoundSport Headphones,1,99.99,11/15/19 20:31,469 8th St, San Francisco,California,94016,99.99
278883,Wired Headphones,2,11.99,11/28/19 23:11,153 Washington St, San Francisco,California,94016,23.98
278884,Flatscreen TV,1,300,11/09/19 23:48,288 Washington St, Portland,Oregon,97035,300.0
278885,34in Ultrawide Monitor,1,379.99,11/12/19 18:53,129 Ridge St, Austin,Texas,73301,379.99
